,Radius,Mass,Gravity,Distance,Star Name
0,695700000.0,1.989e+30,274.10478078144416,1.0,Sun
1,1182690000.0,4.1769e+30,199.17648430485562,1.7,Sirius
2,49394700000.0,2.9835e+31,0.8156262074432974,71.0,Canopus
3,834840000.0,2.1879e+30,209.38559643026986,1.2,Alpha Centauri
4,18088200000.0,2.1879e+30,0.4460284894372612,26.0,Arcturus
5,1878390000.0000002,4.3758e+30,82.72023562677326,2.7,Vega
6,8348400000.0,5.1714e+30,4.9491140974427426,12.0,Capella
7,54890730000.00001,4.574699999999999e+31,1.0127224556237,78.9,Rigel
8,1321830000.0,2.9835e+30,113.89395323328705,1.9,Procyon
9,660915000000.0,3.978e+31,0.006074344172441976,950.0,Betelgeuse
10,6470010000.000001,1.33263e+31,21.233692117420226,9.3,Achernar
11,5983020000.0,2.08845e+31,38.914280667998426,8.6,Hadar
12,1252260000.0,3.5802e+30,152.280433767469,1.8,Altair
13,6191730000.0,3.5801999999999996e+31,62.288676354828866,8.9,Acrux
14,30610800000.0,2.9835e+30,0.2123745718864495,44.0,Aldebaran
15,473076000000.0,2.3868e+31,0.007113445868030558,680.0,Antares
16,5196879000.0,2.2734269999999998e+31,56.14636402516638,7.47,Spica
17,6122160000.000001,3.7790999999999997e+30,6.725194776404233,8.8,Pollux
18,1252260000.0,3.7790999999999997e+30,160.74045786566168,1.8,Fomalhaut
19,141227100000.0,3.7791e+31,0.1263799372672824,203.0,Deneb
20,5843880000.0,3.1824e+31,62.155279088762846,8.4,Mimosa
21,2156670000.0,7.558199999999999e+30,108.38690603220478,3.1,Regulus
22,9739800000.0,2.48625e+31,17.481172243714553,14.0,Adhara
23,6122160000.000001,2.88405e+31,51.32385487255861,8.8,Shaula
24,1669680000.0,5.5692e+30,133.24537954653536,2.4,Castor
